tier,task,episode,model,status,reason,oracle_label,naive_reward,hardened_v1_recorded,hardened_v1_pass,hardened_v2_pass,v1_FP,v2_FP,v1_FP_vs_full,v2_FP_vs_full,v1_FN,v2_FN,v1_v2_disagree,contract_only_rejection,v2_vs_oracle_disagree,v1_failed,v2_failed
H,h2_position_double_defect,1,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_rope_relative_property;repo_rope_norm_preserved;repo_matches_gold_logits,repo_rope_relative_property;repo_rope_norm_preserved;repo_matches_gold_logits
H,h2_position_double_defect,2,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_matches_gold_logits,repo_matches_gold_logits
H,h2_position_double_defect,3,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_matches_gold_logits,repo_matches_gold_logits
H,h3_accumulation_and_clipping,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h3_accumulation_and_clipping,1,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_grad_accum_matches_full_batch;repo_clipping_is_effective,repo_grad_accum_matches_full_batch;repo_clipping_is_effective
H,h3_accumulation_and_clipping,2,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h3_accumulation_and_clipping,3,deepseek-v4-flash,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_grad_accum_matches_full_batch,repo_grad_accum_matches_full_batch
H,h4_schedule_triple_defect,0,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h4_schedule_triple_defect,1,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h4_schedule_triple_defect,2,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h4_schedule_triple_defect,3,deepseek-v4-flash,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
H,h5_masking_triple_defect,0,deepseek-v4-flash,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count;repo_padding_mask_reaches_model,repo_supervised_token_count;repo_padding_mask_reaches_model
H,h5_masking_triple_defect,1,deepseek-v4-flash,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count;repo_padding_mask_reaches_model,repo_supervised_token_count;repo_padding_mask_reaches_model
H,h5_masking_triple_defect,2,deepseek-v4-flash,REPLAYED,,WRONG,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count;repo_padding_does_not_change_loss;repo_padding_mask_reaches_model,repo_supervised_token_count;repo_padding_does_not_change_loss;repo_padding_mask_reaches_model
H,h5_masking_triple_defect,3,deepseek-v4-flash,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count;repo_padding_mask_reaches_model,repo_supervised_token_count;repo_padding_mask_reaches_model
M-pro,m1_attention_regression,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m1_attention_regression,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m2_position_encoding,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m2_position_encoding,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m3_gradient_lifecycle,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m3_gradient_lifecycle,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m4_schedule_accumulation,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m4_schedule_accumulation,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
M-pro,m5_masking_interaction,0,deepseek-v4-pro,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count,repo_supervised_token_count
M-pro,m5_masking_interaction,1,deepseek-v4-pro,REPLAYED,,PARTIAL_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,repo_supervised_token_count,repo_supervised_token_count
E-pro,t1_causal_mask_off_by_one,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t1_causal_mask_off_by_one,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t1_causal_mask_off_by_one,2,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t1_causal_mask_off_by_one,3,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t2_rope_pairing_convention,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t2_rope_pairing_convention,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t2_rope_pairing_convention,2,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t2_rope_pairing_convention,3,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t3_rmsnorm_missing_upcast,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t3_rmsnorm_missing_upcast,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t3_rmsnorm_missing_upcast,2,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t3_rmsnorm_missing_upcast,3,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t4_grad_accum_normalization,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t4_grad_accum_normalization,1,deepseek-v4-pro,UNREPLAYABLE,no patched_source,INVALID,0.0,0.0,,,,,,,,,,,,,
E-pro,t4_grad_accum_normalization,2,deepseek-v4-pro,REPLAYED,,SEMANTIC_FIX,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,grad_accum_runs,grad_accum_runs
E-pro,t4_grad_accum_normalization,3,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t5_loss_ignore_index_dropped,0,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t5_loss_ignore_index_dropped,1,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t5_loss_ignore_index_dropped,2,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-pro,t5_loss_ignore_index_dropped,3,deepseek-v4-pro,REPLAYED,,FULL_FIX,1.0,1.0,True,True,False,False,False,False,False,False,False,False,False,,
E-flash,t1_causal_mask_off_by_one,0,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t1_causal_mask_off_by_one,1,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t1_causal_mask_off_by_one,2,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t1_causal_mask_off_by_one,3,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t2_rope_pairing_convention,0,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t2_rope_pairing_convention,1,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t2_rope_pairing_convention,2,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t2_rope_pairing_convention,3,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t3_rmsnorm_missing_upcast,0,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t3_rmsnorm_missing_upcast,1,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t3_rmsnorm_missing_upcast,2,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t3_rmsnorm_missing_upcast,3,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t4_grad_accum_normalization,0,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t4_grad_accum_normalization,1,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t4_grad_accum_normalization,2,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t4_grad_accum_normalization,3,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t5_loss_ignore_index_dropped,0,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t5_loss_ignore_index_dropped,1,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t5_loss_ignore_index_dropped,2,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
E-flash,t5_loss_ignore_index_dropped,3,deepseek-v4-flash,REPLAYED,,TRUE_FIX,1.0,1.0,True,True,True,True,True,True,False,False,False,False,True,,
